"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2017","9,597.25","9,607.75","9,626.90","9,585.00","5.90M","-0.04%"
"Jun 15, 2017","9,600.90","9,618.55","9,626.35","9,584.25","6.06M","-0.38%"
"Jun 14, 2017","9,637.60","9,618.60","9,647.00","9,598.25","5.89M","0.23%"
"Jun 13, 2017","9,615.10","9,637.60","9,660.60","9,608.25","5.16M","-0.05%"
"Jun 12, 2017","9,620.15","9,626.60","9,642.50","9,602.00","7.64M","-0.65%"
"Jun 09, 2017","9,682.90","9,668.85","9,693.85","9,619.95","7.77M","0.14%"
"Jun 08, 2017","9,669.70","9,690.50","9,705.00","9,660.25","4.53M","-0.11%"
"Jun 07, 2017","9,679.90","9,672.10","9,698.40","9,650.65","5.96M","0.15%"
"Jun 06, 2017","9,665.75","9,700.00","9,704.00","9,658.70","5.55M","-0.20%"
"Jun 05, 2017","9,685.50","9,655.15","9,699.00","9,653.00","5.64M","0.34%"
"Jun 02, 2017","9,652.60","9,660.15","9,672.00","9,643.20","5.56M","0.23%"
"Jun 01, 2017","9,630.10","9,626.00","9,644.95","9,595.95","5.26M","0.04%"
"May 31, 2017","9,626.05","9,616.60","9,641.70","9,607.20","6.61M","0.06%"
"May 30, 2017","9,619.85","9,590.25","9,633.35","9,582.40","6.19M","0.15%"
"May 29, 2017","9,605.70","9,560.00","9,639.85","9,543.55","10.83M","0.31%"
"May 26, 2017","9,575.80","9,490.10","9,586.50","9,475.00","9.21M","0.69%"
"May 25, 2017","9,509.75","9,384.95","9,517.90","9,378.50","15.11M","1.55%"
"May 24, 2017","9,364.85","9,401.25","9,439.90","9,340.00","15.80M","-0.27%"
"May 23, 2017","9,390.45","9,458.65","9,464.00","9,371.00","13.50M","-0.56%"
"May 22, 2017","9,443.65","9,480.00","9,492.05","9,426.90","8.48M","-0.02%"
"May 19, 2017","9,445.75","9,463.45","9,512.40","9,401.55","12.31M","0.05%"
"May 18, 2017","9,440.70","9,476.05","9,503.00","9,433.30","10.08M","-0.98%"
"May 17, 2017","9,533.75","9,518.75","9,537.75","9,493.60","5.50M","0.12%"
